customer_id,signup_date,gender,age,city,state,acquisition_channel,acquisition_campaign
CUST000095,2024-04-05,Female,39,Delhi,Delhi,Paid Search,GoogleAds-Generic-Search
CUST000096,2025-03-04,Male,28,Chennai,Tamil Nadu,Organic Search,Organic-Blog-SEO
CUST000097,2024-07-03,Male,33,Mumbai,Maharashtra,Affiliate,Affiliate-Cashback-Sites
CUST000098,2023-07-06,Female,30,Nagpur,Maharashtra,Social Media Ads,FB-Prospecting
CUST000099,2023-08-29,Male,48,Hyderabad,Telangana,Affiliate,Affiliate-Influencer
CUST000100,2025-11-29,Female,32,Mumbai,Maharashtra,Social Media Ads,Diwali-Dhamaka-2025
CUST000101,2025-11-04,Male,24,Kolkata,West Bengal,Social Media Ads,Diwali-Dhamaka-2025
CUST000102,2025-05-15,Female,33,Bhopal,Madhya Pradesh,Organic Search,Organic-Blog-SEO
CUST000103,2024-02-14,Male,37,Delhi,Delhi,Direct,Direct-Bookmark
CUST000104,2025-12-04,Female,26,Chennai,Tamil Nadu,Paid Search,GoogleAds-Generic-Search
CUST000105,2025-08-12,Male,42,Mumbai,Maharashtra,Affiliate,Affiliate-Coupon-Blogs
CUST000106,2025-06-01,Male,18,Delhi,Delhi,Social Media Ads,FB-Prospecting
CUST000107,2024-10-10,Female,27,Delhi,Delhi,Email Marketing,Diwali-Dhamaka-2024
CUST000108,2024-02-24,Male,31,Pune,Maharashtra,Paid Search,GoogleAds-Generic-Search
CUST000109,2023-07-27,Female,39,Jaipur,Rajasthan,Affiliate,Affiliate-Influencer
CUST000110,2025-11-01,Female,43,Kanpur,Uttar Pradesh,Affiliate,Diwali-Dhamaka-2025
CUST000111,2024-10-14,Male,43,Bangalore,Karnataka,Affiliate,Affiliate-Coupon-Blogs
CUST000112,2023-11-26,Male,32,Pune,Maharashtra,Direct,Direct-App
CUST000113,2024-04-11,Female,41,Varanasi,Uttar Pradesh,Organic Search,Organic-Blog-SEO
CUST000114,2025-01-14,Female,37,Mumbai,Maharashtra,Paid Search,GoogleAds-Brand-Search
CUST000115,2023-11-04,Male,32,Mysuru,Karnataka,Referral,Referral-FriendInvite
CUST000116,2025-10-10,Female,27,Pune,Maharashtra,Affiliate,Diwali-Dhamaka-2025
CUST000117,2025-07-25,Male,33,Surat,Gujarat,Paid Search,GoogleAds-Brand-Search
CUST000118,2025-06-04,Male,42,Hyderabad,Telangana,Direct,Direct-App
CUST000119,2024-09-28,Female,32,Bangalore,Karnataka,Marketplace Ads,Marketplace-Sponsored-Listing
CUST000120,2025-03-01,Male,28,Jaipur,Rajasthan,Referral,Referral-FriendInvite
CUST000121,2025-01-18,Female,41,Delhi,Delhi,Social Media Ads,NewYear-Sale-2025
CUST000122,2025-03-24,Male,27,Indore,Madhya Pradesh,Affiliate,Affiliate-Coupon-Blogs
CUST000123,2023-06-27,Male,36,Coimbatore,Tamil Nadu,Social Media Ads,FB-Prospecting
CUST000124,2024-09-08,Female,34,Nagpur,Maharashtra,Direct,Direct-Bookmark
CUST000125,2023-03-26,Male,39,Surat,Gujarat,Social Media Ads,FB-Prospecting
CUST000126,2024-11-06,Female,38,Kolkata,West Bengal,Affiliate,Diwali-Dhamaka-2024
CUST000127,2024-05-14,Female,37,Chennai,Tamil Nadu,Organic Search,Organic-Blog-SEO
CUST000128,2023-10-07,Female,28,Pune,Maharashtra,Paid Search,Diwali-Dhamaka-2023
CUST000129,2023-08-08,Female,27,Bangalore,Karnataka,Organic Search,Organic-Blog-SEO
CUST000130,2025-01-21,Female,34,Bangalore,Karnataka,Organic Search,Organic-Brand
CUST000131,2023-10-30,Male,33,Chennai,Tamil Nadu,Organic Search,Organic-YouTube-Reviews
CUST000132,2025-11-12,Female,52,Nagpur,Maharashtra,Paid Search,Diwali-Dhamaka-2025
CUST000133,2025-01-16,Male,34,Pune,Maharashtra,Direct,Direct-App
CUST000134,2024-06-08,Female,32,Nashik,Maharashtra,Organic Search,Organic-YouTube-Reviews
CUST000135,2025-01-24,Female,26,Chennai,Tamil Nadu,Marketplace Ads,Marketplace-Homepage-Banner
CUST000136,2023-02-12,Male,22,Patna,Bihar,Affiliate,Affiliate-Coupon-Blogs
CUST000137,2025-11-28,Female,18,Amritsar,Punjab,Organic Search,Organic-Blog-SEO
CUST000138,2024-10-30,Male,22,Hyderabad,Telangana,Email Marketing,Diwali-Dhamaka-2024
CUST000139,2025-08-15,Female,29,Mumbai,Maharashtra,Paid Search,Bing-Search-Ads
CUST000140,2023-06-23,Male,39,Mumbai,Maharashtra,Paid Search,Bing-Search-Ads
CUST000141,2024-11-02,Male,35,Amritsar,Punjab,Social Media Ads,Diwali-Dhamaka-2024
CUST000142,2024-11-04,Female,23,Surat,Gujarat,Organic Search,Organic-YouTube-Reviews
CUST000143,2025-11-18,Female,26,Mumbai,Maharashtra,Referral,Referral-CashbackProgram
CUST000144,2025-01-09,Female,30,Chennai,Tamil Nadu,Direct,Direct-WordOfMouth
CUST000145,2024-10-25,Female,28,Hyderabad,Telangana,Marketplace Ads,Diwali-Dhamaka-2024
CUST000146,2024-02-16,Female,24,Kanpur,Uttar Pradesh,Affiliate,Affiliate-Cashback-Sites
CUST000147,2024-05-16,Female,18,Ahmedabad,Gujarat,Referral,Referral-CashbackProgram
CUST000148,2024-11-23,Female,22,Nagpur,Maharashtra,Marketplace Ads,Diwali-Dhamaka-2024
CUST000149,2024-10-03,Male,22,Bhopal,Madhya Pradesh,Social Media Ads,Diwali-Dhamaka-2024
CUST000150,2023-02-09,Female,41,Bangalore,Karnataka,Affiliate,Affiliate-Cashback-Sites
CUST000151,2025-09-21,Male,43,Mumbai,Maharashtra,Affiliate,Affiliate-Influencer
CUST000152,2025-10-29,Male,18,Bangalore,Karnataka,Direct,Direct-WordOfMouth
CUST000153,2023-10-03,Female,37,Bhopal,Madhya Pradesh,Paid Search,GoogleAds-Brand-Search
CUST000154,2024-12-23,Female,41,Dehradun,Uttarakhand,Social Media Ads,Insta-Retargeting
CUST000155,2023-08-16,Female,24,Mumbai,Maharashtra,Organic Search,Organic-YouTube-Reviews
CUST000156,2025-04-17,Female,18,Surat,Gujarat,Affiliate,Affiliate-Cashback-Sites
CUST000157,2024-03-08,Male,45,Kanpur,Uttar Pradesh,Email Marketing,EMail-Winback-Offer
CUST000158,2025-04-03,Female,29,Bangalore,Karnataka,Email Marketing,EMail-Newsletter-Signup
CUST000159,2025-06-14,Male,42,Bangalore,Karnataka,Marketplace Ads,Marketplace-Homepage-Banner
CUST000160,2025-08-04,Male,32,Ahmedabad,Gujarat,Email Marketing,EMail-Winback-Offer
CUST000161,2023-08-14,Male,44,Mumbai,Maharashtra,Social Media Ads,FB-Prospecting
CUST000162,2025-11-08,Female,35,Chandigarh,Chandigarh,Social Media Ads,Diwali-Dhamaka-2025
CUST000163,2024-01-03,Male,28,Mumbai,Maharashtra,Organic Search,Organic-Blog-SEO
CUST000164,2023-03-17,Female,27,Delhi,Delhi,Email Marketing,EMail-Winback-Offer
CUST000165,2024-12-24,Male,26,Vadodara,Gujarat,Organic Search,Organic-Brand
CUST000166,2024-07-19,Male,29,Chennai,Tamil Nadu,Affiliate,Affiliate-Coupon-Blogs
CUST000167,2025-09-24,Male,30,Jodhpur,Rajasthan,Direct,Direct-Bookmark
CUST000168,2025-09-04,Male,34,Mumbai,Maharashtra,Social Media Ads,Insta-Reels-Ads
CUST000169,2024-04-27,Female,28,Ahmedabad,Gujarat,Email Marketing,EMail-Winback-Offer
CUST000170,2025-11-25,Male,46,Lucknow,Uttar Pradesh,Direct,Direct-Bookmark
CUST000171,2024-03-21,Male,45,Delhi,Delhi,Affiliate,Affiliate-Cashback-Sites
CUST000172,2024-11-19,Male,33,Kolkata,West Bengal,Direct,Direct-WordOfMouth
CUST000173,2024-01-31,Female,47,Kolkata,West Bengal,Referral,Referral-FriendInvite
CUST000174,2025-11-17,Female,43,Surat,Gujarat,Affiliate,Affiliate-Cashback-Sites
CUST000175,2023-10-25,Male,29,Mumbai,Maharashtra,Social Media Ads,Diwali-Dhamaka-2023
CUST000176,2023-04-02,Male,35,Hyderabad,Telangana,Organic Search,Organic-YouTube-Reviews
CUST000177,2024-10-01,Male,31,Kolkata,West Bengal,Email Marketing,Diwali-Dhamaka-2024
CUST000178,2025-12-25,Female,43,Dehradun,Uttarakhand,Direct,Direct-App
CUST000179,2025-10-27,Female,24,Jaipur,Rajasthan,Social Media Ads,FB-Prospecting
CUST000180,2025-07-13,Male,19,Vizag,Andhra Pradesh,Affiliate,Affiliate-Cashback-Sites
CUST000181,2025-10-27,Male,31,Mumbai,Maharashtra,Social Media Ads,Diwali-Dhamaka-2025
CUST000182,2025-10-28,Male,24,Kochi,Kerala,Affiliate,Diwali-Dhamaka-2025
CUST000183,2024-11-21,Male,24,Bhopal,Madhya Pradesh,Social Media Ads,FB-Prospecting
CUST000184,2024-04-25,Male,30,Mumbai,Maharashtra,Email Marketing,EMail-Newsletter-Signup
CUST000185,2025-08-07,Male,27,Lucknow,Uttar Pradesh,Organic Search,Organic-Brand
CUST000186,2025-04-06,Male,29,Surat,Gujarat,Direct,Direct-WordOfMouth
CUST000187,2024-07-23,Male,29,Jaipur,Rajasthan,Email Marketing,EMail-Winback-Offer
CUST000188,2023-07-22,Male,33,Bangalore,Karnataka,Social Media Ads,FB-Prospecting
CUST000189,2025-07-10,Male,26,Chennai,Tamil Nadu,Marketplace Ads,Marketplace-Homepage-Banner
CUST000190,2024-02-09,Male,26,Mumbai,Maharashtra,Paid Search,GoogleAds-Generic-Search
CUST000191,2025-11-17,Female,39,Ranchi,Jharkhand,Direct,Direct-WordOfMouth
CUST000192,2024-01-15,Male,41,Surat,Gujarat,Paid Search,NewYear-Sale-2024
CUST000193,2023-09-06,Male,46,Ranchi,Jharkhand,Paid Search,GoogleAds-Generic-Search
CUST000194,2025-09-26,Female,31,Delhi,Delhi,Social Media Ads,Insta-Reels-Ads
CUST000195,2023-10-15,Male,41,Kolkata,West Bengal,Marketplace Ads,Marketplace-Sponsored-Listing
CUST000196,2023-11-06,Male,28,Bangalore,Karnataka,Marketplace Ads,Diwali-Dhamaka-2023
CUST000197,2025-01-30,Female,35,Ahmedabad,Gujarat,Affiliate,Affiliate-Influencer
CUST000198,2025-10-19,Male,32,Ahmedabad,Gujarat,Organic Search,Organic-Blog-SEO
CUST000199,2023-11-21,Male,46,Dehradun,Uttarakhand,Referral,Referral-CashbackProgram
CUST000200,2024-04-17,Female,26,Hyderabad,Telangana,Marketplace Ads,Marketplace-Homepage-Banner
CUST000201,2025-08-11,Female,24,Vadodara,Gujarat,Affiliate,Affiliate-Cashback-Sites
CUST000202,2025-12-07,Female,31,Coimbatore,Tamil Nadu,Email Marketing,EMail-Festive-Blast
CUST000203,2024-11-10,Male,18,Kolkata,West Bengal,Referral,Referral-CashbackProgram
CUST000204,2023-10-07,Male,32,Bangalore,Karnataka,Referral,Referral-CashbackProgram
CUST000205,2023-01-25,Male,18,Chennai,Tamil Nadu,Marketplace Ads,Marketplace-Homepage-Banner
CUST000206,2024-01-03,Male,24,Nagpur,Maharashtra,Paid Search,GoogleAds-Generic-Search
CUST000207,2023-09-21,Female,31,Lucknow,Uttar Pradesh,Organic Search,Organic-Blog-SEO
CUST000208,2025-04-22,Female,18,Vadodara,Gujarat,Direct,Direct-WordOfMouth
CUST000209,2023-09-04,Male,33,Ranchi,Jharkhand,Direct,Direct-App
CUST000210,2024-11-14,Female,18,Pune,Maharashtra,Email Marketing,Diwali-Dhamaka-2024
CUST000211,2025-05-09,Male,30,Kolkata,West Bengal,Social Media Ads,FB-Lookalike
CUST000212,2025-01-16,Other,37,Mumbai,Maharashtra,Direct,Direct-App
CUST000213,2023-11-24,Male,41,Chennai,Tamil Nadu,Social Media Ads,Diwali-Dhamaka-2023
CUST000214,2025-08-31,Female,44,Chennai,Tamil Nadu,Organic Search,Organic-Blog-SEO
CUST000215,2025-05-30,Female,24,Coimbatore,Tamil Nadu,Affiliate,Affiliate-Coupon-Blogs
CUST000216,2025-06-30,Female,28,Nashik,Maharashtra,Marketplace Ads,Marketplace-Homepage-Banner
CUST000217,2023-09-20,Female,25,Pune,Maharashtra,Affiliate,Affiliate-Coupon-Blogs
CUST000218,2023-09-07,Female,38,Nashik,Maharashtra,Organic Search,Organic-YouTube-Reviews
CUST000219,2025-11-13,Female,33,Delhi,Delhi,Affiliate,Diwali-Dhamaka-2025
CUST000220,2024-08-20,Female,31,Jaipur,Rajasthan,Marketplace Ads,Marketplace-Sponsored-Listing
CUST000221,2024-04-04,Male,30,Kolkata,West Bengal,Organic Search,Organic-YouTube-Reviews
CUST000222,2024-11-03,Female,36,Chennai,Tamil Nadu,Paid Search,Diwali-Dhamaka-2024
CUST000223,2025-04-07,Female,24,Hyderabad,Telangana,Social Media Ads,Insta-Reels-Ads
CUST000224,2025-11-26,Male,38,Nagpur,Maharashtra,Organic Search,Organic-Brand
CUST000225,2024-03-15,Male,34,Mumbai,Maharashtra,Email Marketing,EMail-Winback-Offer
CUST000226,2025-11-12,Male,40,Hyderabad,Telangana,Social Media Ads,Insta-Retargeting
CUST000227,2023-02-16,Male,28,Delhi,Delhi,Direct,Direct-WordOfMouth
CUST000228,2024-12-24,Female,31,Bangalore,Karnataka,Paid Search,GoogleAds-Brand-Search
CUST000229,2025-03-08,Female,40,Mumbai,Maharashtra,Social Media Ads,FB-Lookalike
CUST000230,2023-08-12,Male,21,Jaipur,Rajasthan,Paid Search,GoogleAds-Brand-Search
CUST000231,2023-10-03,Male,41,Delhi,Delhi,Paid Search,Diwali-Dhamaka-2023
CUST000232,2024-09-12,Male,29,Mumbai,Maharashtra,Paid Search,GoogleAds-Brand-Search
CUST000233,2025-12-02,Female,38,Hyderabad,Telangana,Organic Search,Organic-YouTube-Reviews
CUST000234,2025-01-27,Female,38,Delhi,Delhi,Paid Search,GoogleAds-Brand-Search
CUST000235,2025-11-16,Male,29,Lucknow,Uttar Pradesh,Affiliate,Affiliate-Cashback-Sites
CUST000236,2025-09-01,Male,31,Jaipur,Rajasthan,Social Media Ads,FB-Prospecting
CUST000237,2024-10-21,Female,20,Pune,Maharashtra,Marketplace Ads,Diwali-Dhamaka-2024
CUST000238,2025-08-17,Female,18,Guwahati,Assam,Paid Search,IndependenceDay-Sale-2025
CUST000239,2023-01-31,Male,32,Bhopal,Madhya Pradesh,Marketplace Ads,Marketplace-Homepage-Banner
CUST000240,2023-08-16,Female,41,Pune,Maharashtra,Social Media Ads,IndependenceDay-Sale-2023
CUST000241,2025-09-24,Male,29,Chandigarh,Chandigarh,Marketplace Ads,Marketplace-Homepage-Banner
CUST000242,2025-08-26,Female,18,Bangalore,Karnataka,Organic Search,Organic-Brand
CUST000243,2024-01-06,Female,27,Chennai,Tamil Nadu,Organic Search,Organic-Blog-SEO
CUST000244,2024-11-29,Male,27,Kolkata,West Bengal,Referral,Referral-CashbackProgram
CUST000245,2025-02-06,Female,28,Delhi,Delhi,Social Media Ads,FB-Lookalike
CUST000246,2025-10-16,Female,22,Coimbatore,Tamil Nadu,Email Marketing,EMail-Winback-Offer
CUST000247,2025-02-03,Male,25,Delhi,Delhi,Direct,Direct-Bookmark
CUST000248,2024-09-04,Female,18,Chennai,Tamil Nadu,Direct,Direct-WordOfMouth
CUST000249,2024-07-24,Male,48,Surat,Gujarat,Social Media Ads,Insta-Retargeting
CUST000250,2024-09-20,Male,45,Delhi,Delhi,Social Media Ads,Insta-Reels-Ads
CUST000251,2025-03-27,Other,23,Bangalore,Karnataka,Referral,Referral-FriendInvite
CUST000252,2025-10-15,Female,31,Kolkata,West Bengal,Direct,Direct-WordOfMouth
CUST000253,2024-10-13,Male,26,Nashik,Maharashtra,Direct,Direct-App
CUST000254,2024-01-22,Male,30,Mumbai,Maharashtra,Social Media Ads,NewYear-Sale-2024
CUST000255,2024-01-10,Female,34,Mumbai,Maharashtra,Social Media Ads,NewYear-Sale-2024
CUST000256,2025-07-09,Female,33,Kochi,Kerala,Marketplace Ads,Marketplace-Sponsored-Listing
CUST000257,2025-09-12,Male,39,Hyderabad,Telangana,Paid Search,Bing-Search-Ads
CUST000258,2023-08-11,Female,27,Chandigarh,Chandigarh,Social Media Ads,IndependenceDay-Sale-2023
CUST000259,2023-05-17,Female,31,Hyderabad,Telangana,Email Marketing,EMail-Newsletter-Signup
CUST000260,2025-01-26,Female,18,Hyderabad,Telangana,Organic Search,Organic-YouTube-Reviews
CUST000261,2023-10-08,Male,32,Ahmedabad,Gujarat,Organic Search,Organic-Brand
CUST000262,2025-09-20,Female,18,Mumbai,Maharashtra,Affiliate,Affiliate-Cashback-Sites
CUST000263,2024-04-17,Male,20,Kolkata,West Bengal,Organic Search,Organic-Brand
CUST000264,2023-10-07,Female,42,Mumbai,Maharashtra,Organic Search,Organic-YouTube-Reviews
CUST000265,2025-11-10,Male,42,Mumbai,Maharashtra,Organic Search,Organic-Brand
CUST000266,2023-10-25,Female,22,Mumbai,Maharashtra,Referral,Referral-CashbackProgram
CUST000267,2024-03-12,Female,46,Hyderabad,Telangana,Paid Search,GoogleAds-Generic-Search
CUST000268,2023-10-15,Female,37,Vadodara,Gujarat,Social Media Ads,FB-Lookalike
CUST000269,2023-08-26,Male,35,Chennai,Tamil Nadu,Direct,Direct-Bookmark
CUST000270,2023-02-08,Female,21,Ahmedabad,Gujarat,Social Media Ads,FB-Prospecting
CUST000271,2023-04-24,Male,46,Indore,Madhya Pradesh,Social Media Ads,FB-Lookalike
CUST000272,2023-11-02,Male,37,Kolkata,West Bengal,Social Media Ads,Diwali-Dhamaka-2023
CUST000273,2023-04-20,Female,24,Pune,Maharashtra,Marketplace Ads,Marketplace-Sponsored-Listing
CUST000274,2025-01-24,Female,18,Pune,Maharashtra,Email Marketing,NewYear-Sale-2025
CUST000275,2025-04-25,Female,21,Mumbai,Maharashtra,Marketplace Ads,Marketplace-Homepage-Banner
CUST000276,2024-08-16,Male,32,Varanasi,Uttar Pradesh,Affiliate,IndependenceDay-Sale-2024
CUST000277,2024-04-28,Female,29,Kolkata,West Bengal,Email Marketing,EMail-Winback-Offer
CUST000278,2024-11-13,Male,44,Mumbai,Maharashtra,Paid Search,Diwali-Dhamaka-2024
CUST000279,2025-10-19,Male,22,Kolkata,West Bengal,Email Marketing,Diwali-Dhamaka-2025
CUST000280,2025-10-08,Female,34,Mumbai,Maharashtra,Paid Search,Diwali-Dhamaka-2025
