order_id,customer_id,order_date,order_status,payment_method,shipping_type,discount,shipping_cost,order_value
ORD0000030,CUST000009,2025-05-28,Delivered,COD,Express,805.98,100.47,3409.49
ORD0000031,CUST000009,2025-08-15,Delivered,Debit Card,Standard,855.99,0.0,1869.01
ORD0000032,CUST000010,2024-11-18,Delivered,Net Banking,Standard,39.6,47.53,327.93
ORD0000033,CUST000010,2024-12-21,Delivered,COD,Same Day,1748.27,183.93,7620.66
ORD0000034,CUST000010,2025-01-30,Delivered,UPI,Standard,1174.53,0.0,6645.47
ORD0000035,CUST000010,2025-02-01,Delivered,Debit Card,Express,536.12,113.49,2747.37
ORD0000036,CUST000010,2025-02-22,Delivered,Credit Card,Standard,209.45,61.74,1762.29
ORD0000037,CUST000010,2025-03-02,Delivered,Credit Card,Express,10736.19,104.72,71123.53
ORD0000038,CUST000010,2025-03-06,Delivered,Wallet,Standard,16277.32,0.0,96097.68
ORD0000039,CUST000010,2025-03-07,Cancelled,Debit Card,Express,1461.28,0.0,8238.72
ORD0000040,CUST000010,2025-03-25,Delivered,COD,Express,311.71,0.0,1828.29
ORD0000041,CUST000010,2025-04-11,Delivered,Debit Card,Express,224.52,112.46,1482.94
ORD0000042,CUST000010,2025-05-07,Returned,Wallet,Express,679.99,0.0,4770.01
ORD0000043,CUST000010,2025-05-22,Delivered,Debit Card,Standard,724.98,0.0,5715.02
ORD0000044,CUST000010,2025-06-15,Delivered,Debit Card,Express,4819.04,124.49,45125.45
ORD0000045,CUST000010,2025-08-01,Delivered,Credit Card,Standard,751.09,34.49,4028.4
ORD0000046,CUST000010,2025-09-01,Delivered,UPI,Express,9252.32,116.55,44319.23
ORD0000047,CUST000010,2025-09-20,Cancelled,UPI,Standard,174.41,43.26,1418.85
ORD0000048,CUST000010,2025-10-01,Delivered,UPI,Standard,2286.28,0.0,6283.72
ORD0000049,CUST000010,2025-10-08,Delivered,UPI,Standard,559.97,20.37,1305.4
ORD0000050,CUST000010,2025-10-30,Delivered,Debit Card,Standard,1937.94,0.0,15387.06
ORD0000051,CUST000010,2025-12-10,Delivered,UPI,Standard,762.94,0.0,3277.06
ORD0000052,CUST000011,2025-01-17,Delivered,UPI,Standard,620.79,10.56,1079.77
ORD0000053,CUST000011,2025-05-16,Delivered,UPI,Standard,3545.58,0.0,18609.42
ORD0000054,CUST000011,2025-10-20,Delivered,Net Banking,Express,40.98,116.24,385.26
ORD0000055,CUST000013,2025-05-19,Delivered,Credit Card,Standard,2013.76,0.0,11156.24
ORD0000056,CUST000013,2025-07-16,Delivered,UPI,Standard,576.59,0.0,2128.41
ORD0000057,CUST000013,2025-10-29,Delivered,Credit Card,Express,1508.0,106.8,3383.8
ORD0000058,CUST000015,2025-07-25,Delivered,COD,Express,149.53,0.0,2520.47
ORD0000059,CUST000016,2024-11-25,Delivered,UPI,Standard,395.15,61.93,1196.78
ORD0000060,CUST000016,2025-02-20,Delivered,UPI,Standard,459.98,0.0,2850.02
ORD0000061,CUST000016,2025-03-30,Delivered,UPI,Express,565.36,0.0,5914.64
ORD0000062,CUST000016,2025-04-29,Delivered,COD,Standard,4225.94,0.0,23229.06
ORD0000063,CUST000016,2025-08-11,Delivered,Debit Card,Standard,507.86,58.38,2130.52
ORD0000064,CUST000016,2025-09-24,Delivered,UPI,Standard,3791.83,0.0,34413.17
ORD0000065,CUST000016,2025-11-14,Delivered,COD,Standard,935.91,0.0,16654.09
ORD0000066,CUST000017,2025-08-26,Delivered,Credit Card,Standard,111.98,58.84,576.86
ORD0000067,CUST000018,2024-07-17,Delivered,UPI,Express,4570.92,141.87,52735.95
ORD0000068,CUST000018,2024-08-15,Delivered,UPI,Standard,289.93,35.54,865.61
ORD0000069,CUST000018,2025-12-31,Delivered,Wallet,Standard,968.26,41.25,4687.99
ORD0000070,CUST000019,2025-10-24,Delivered,Net Banking,Standard,87.32,45.22,477.9
ORD0000071,CUST000019,2025-10-28,Delivered,Wallet,Standard,56.02,31.6,315.58
ORD0000072,CUST000019,2025-11-24,Delivered,EMI,Same Day,53.58,191.04,342.46
ORD0000073,CUST000019,2025-11-28,Delivered,UPI,Standard,1574.03,0.0,5550.97
ORD0000074,CUST000020,2025-04-30,Delivered,COD,Standard,1003.4,50.91,3577.51
ORD0000075,CUST000020,2025-10-14,Cancelled,Debit Card,Express,60.47,116.04,350.57
ORD0000076,CUST000020,2025-12-14,Delivered,Debit Card,Standard,73.83,26.86,638.03
ORD0000077,CUST000021,2025-10-04,Delivered,COD,Standard,86.29,46.34,465.05
ORD0000078,CUST000021,2025-10-19,Delivered,Debit Card,Standard,295.43,49.37,1373.94
ORD0000079,CUST000021,2025-11-20,Delivered,UPI,Express,36.72,118.64,361.92
ORD0000080,CUST000022,2024-06-23,Delivered,COD,Express,1492.46,105.02,11452.56
ORD0000081,CUST000022,2024-06-29,Cancelled,Net Banking,Standard,1315.24,65.16,8604.92
ORD0000082,CUST000022,2024-08-05,Delivered,Net Banking,Express,9044.34,0.0,50145.66
ORD0000083,CUST000022,2024-09-24,Delivered,COD,Standard,1139.8,0.0,17740.2
ORD0000084,CUST000022,2024-11-20,Delivered,UPI,Standard,547.63,19.78,2947.15
ORD0000085,CUST000022,2024-11-21,Delivered,UPI,Express,8278.81,0.0,39166.19
ORD0000086,CUST000022,2025-01-02,Delivered,Debit Card,Standard,1341.44,0.0,11268.56
ORD0000087,CUST000022,2025-01-02,Delivered,UPI,Express,591.06,101.49,3825.43
ORD0000088,CUST000022,2025-01-02,Delivered,UPI,Standard,5379.4,54.36,65324.96
ORD0000089,CUST000022,2025-01-04,Delivered,EMI,Express,4126.51,0.0,47298.49
ORD0000090,CUST000022,2025-01-18,Delivered,UPI,Standard,971.25,47.06,11900.81
ORD0000091,CUST000022,2025-01-22,Delivered,Credit Card,Standard,1564.06,47.49,12468.43
ORD0000092,CUST000022,2025-03-07,Delivered,Debit Card,Standard,353.53,0.0,116461.47
ORD0000093,CUST000022,2025-03-11,Delivered,COD,Standard,2618.26,25.67,10902.41
ORD0000094,CUST000022,2025-04-14,Delivered,COD,Standard,1718.59,0.0,17936.41
ORD0000095,CUST000022,2025-04-17,Delivered,Wallet,Express,349.01,119.69,1955.68
ORD0000096,CUST000022,2025-05-11,Delivered,UPI,Standard,1909.48,0.0,22295.52
ORD0000097,CUST000022,2025-05-26,Returned,UPI,Standard,1903.46,46.15,12567.69
ORD0000098,CUST000022,2025-06-14,Delivered,Credit Card,Standard,652.48,0.0,7107.52
ORD0000099,CUST000022,2025-06-20,Delivered,UPI,Standard,2429.32,0.0,25450.68
ORD0000100,CUST000022,2025-06-28,Delivered,Credit Card,Standard,16386.92,0.0,151893.08
ORD0000101,CUST000022,2025-08-13,Delivered,COD,Express,1213.33,0.0,9006.67
ORD0000102,CUST000022,2025-08-14,Delivered,Credit Card,Standard,207.73,16.54,868.81
ORD0000103,CUST000022,2025-09-17,Delivered,Credit Card,Express,1233.23,106.73,15978.5
ORD0000104,CUST000022,2025-10-10,Returned,Wallet,Same Day,524.47,0.0,2465.53
ORD0000105,CUST000022,2025-11-01,Delivered,Credit Card,Standard,4183.65,0.0,22241.35
ORD0000106,CUST000022,2025-12-13,Delivered,Debit Card,Standard,1952.47,0.0,15662.53
ORD0000107,CUST000022,2025-12-31,Delivered,UPI,Standard,2214.9,0.0,44360.1
ORD0000108,CUST000024,2025-12-26,Pending,Credit Card,Standard,57.81,45.55,407.74
ORD0000109,CUST000027,2025-08-26,Delivered,UPI,Standard,977.09,0.0,4252.91
ORD0000110,CUST000027,2025-12-21,Delivered,EMI,Express,3464.41,0.0,23985.59
ORD0000111,CUST000028,2023-03-31,Delivered,Wallet,Standard,529.61,0.0,2620.39
ORD0000112,CUST000028,2023-04-14,Returned,Net Banking,Standard,608.59,0.0,3391.41
ORD0000113,CUST000028,2023-04-22,Delivered,Net Banking,Standard,1255.18,0.0,9894.82
ORD0000114,CUST000028,2023-05-05,Delivered,UPI,Express,7.2,97.34,535.14
ORD0000115,CUST000028,2023-06-01,Delivered,UPI,Express,3801.82,103.87,13117.05
ORD0000116,CUST000028,2023-06-15,Delivered,Wallet,Express,1354.25,102.27,7843.02
ORD0000117,CUST000028,2023-07-12,Delivered,Wallet,Standard,1599.78,0.0,6195.22
ORD0000118,CUST000028,2023-08-12,Delivered,COD,Standard,1319.93,0.0,6490.07
ORD0000119,CUST000028,2023-10-11,Delivered,COD,Same Day,5439.39,188.17,21528.78
ORD0000120,CUST000028,2023-10-13,Delivered,COD,Standard,1148.63,0.0,3711.37
ORD0000121,CUST000028,2023-10-15,Delivered,Wallet,Standard,3229.6,38.01,15168.41
ORD0000122,CUST000028,2023-11-07,Delivered,Credit Card,Standard,1248.53,39.45,3570.92
ORD0000123,CUST000028,2024-01-08,Delivered,Credit Card,Standard,4334.54,0.0,25350.46
ORD0000124,CUST000028,2024-01-14,Delivered,UPI,Standard,6459.98,0.0,25065.02
ORD0000125,CUST000028,2024-01-19,Delivered,UPI,Standard,2299.22,44.12,14404.9
ORD0000126,CUST000028,2024-01-25,Delivered,Net Banking,Standard,1170.26,0.0,4479.74
ORD0000127,CUST000028,2024-02-11,Delivered,Debit Card,Standard,426.0,40.69,3184.69
ORD0000128,CUST000028,2024-03-25,Delivered,Credit Card,Same Day,1463.78,181.6,13127.82
ORD0000129,CUST000028,2024-05-13,Delivered,EMI,Express,3602.72,125.78,15083.06
ORD0000130,CUST000028,2024-05-20,Delivered,UPI,Express,2947.74,104.36,8991.62
ORD0000131,CUST000028,2024-05-22,Returned,COD,Standard,1121.45,46.34,5149.89
ORD0000132,CUST000028,2024-05-28,Returned,Wallet,Standard,2158.14,0.0,10171.86
ORD0000133,CUST000028,2024-07-03,Delivered,UPI,Standard,458.78,34.9,3891.12
ORD0000134,CUST000028,2024-08-07,Delivered,Net Banking,Standard,569.64,33.49,3023.85
ORD0000135,CUST000028,2024-09-02,Returned,UPI,Standard,2840.05,0.0,14734.95
ORD0000136,CUST000028,2024-10-17,Cancelled,UPI,Standard,2597.69,25.75,9458.06
ORD0000137,CUST000028,2024-11-18,Delivered,UPI,Express,539.48,0.0,2600.52
ORD0000138,CUST000028,2024-12-24,Delivered,Net Banking,Standard,745.18,0.0,5464.82
ORD0000139,CUST000028,2025-03-05,Delivered,EMI,Standard,2310.83,47.03,10281.2
ORD0000140,CUST000028,2025-03-23,Delivered,Credit Card,Standard,542.23,34.01,1876.78
ORD0000141,CUST000028,2025-04-24,Delivered,COD,Standard,2600.29,0.0,17759.71
ORD0000142,CUST000028,2025-05-28,Delivered,UPI,Express,2227.79,0.0,19802.21
ORD0000143,CUST000028,2025-10-07,Delivered,UPI,Standard,1523.32,0.0,6586.68
ORD0000144,CUST000028,2025-10-21,Returned,Debit Card,Same Day,1041.19,0.0,4308.81
ORD0000145,CUST000028,2025-10-26,Delivered,COD,Express,156.49,104.14,832.65
ORD0000146,CUST000028,2025-11-30,Delivered,EMI,Express,1595.68,0.0,11634.32
ORD0000147,CUST000029,2024-11-18,Delivered,COD,Standard,95.74,45.56,404.82
ORD0000148,CUST000030,2025-08-31,Delivered,Debit Card,Standard,1436.23,32.24,6701.01
ORD0000149,CUST000031,2025-12-18,Delivered,Debit Card,Standard,4.64,61.83,477.19
ORD0000150,CUST000031,2025-12-26,Delivered,UPI,Express,7591.34,0.0,31648.66
ORD0000151,CUST000033,2024-06-21,Delivered,Wallet,Express,1306.06,0.0,4258.94
ORD0000152,CUST000033,2024-08-12,Delivered,Net Banking,Standard,421.96,55.33,1668.37
ORD0000153,CUST000033,2024-11-07,Delivered,Credit Card,Standard,1759.21,0.0,6190.79
ORD0000154,CUST000033,2024-12-08,Delivered,Credit Card,Standard,1501.83,47.0,10495.17
ORD0000155,CUST000033,2025-02-20,Delivered,EMI,Standard,3255.93,0.0,22409.07
ORD0000156,CUST000033,2025-07-21,Cancelled,Wallet,Same Day,280.35,174.04,1408.69
ORD0000157,CUST000033,2025-11-26,Delivered,COD,Standard,673.43,0.0,3896.57
ORD0000158,CUST000033,2025-12-03,Delivered,UPI,Express,13720.0,102.82,52622.82
ORD0000159,CUST000034,2024-10-20,Delivered,COD,Standard,3053.17,35.0,5321.83
ORD0000160,CUST000034,2025-01-03,Delivered,UPI,Standard,218.77,60.57,706.8
ORD0000161,CUST000035,2024-11-02,Delivered,Wallet,Express,4435.32,0.0,17944.68
ORD0000162,CUST000035,2024-11-22,Delivered,Wallet,Standard,1072.14,0.0,1922.86
ORD0000163,CUST000035,2025-02-12,Delivered,Net Banking,Same Day,287.76,184.84,1452.08
ORD0000164,CUST000035,2025-03-20,Delivered,Credit Card,Express,743.85,0.0,3676.15
ORD0000165,CUST000035,2025-05-07,Delivered,UPI,Standard,588.95,40.3,3136.35
ORD0000166,CUST000035,2025-06-29,Delivered,Wallet,Express,171.65,0.0,2383.35
ORD0000167,CUST000037,2025-04-23,Delivered,Credit Card,Standard,46.68,57.27,355.59
ORD0000168,CUST000038,2025-01-23,Delivered,EMI,Express,51.48,101.01,229.53
ORD0000169,CUST000039,2024-02-23,Returned,Credit Card,Standard,5195.98,25.29,83109.31
ORD0000170,CUST000039,2025-05-04,Delivered,UPI,Standard,467.16,61.01,1998.85
ORD0000171,CUST000039,2025-12-24,Delivered,UPI,Standard,77.05,36.4,504.35
ORD0000172,CUST000040,2025-04-25,Delivered,UPI,Express,87.69,93.06,315.37
ORD0000173,CUST000040,2025-08-20,Delivered,UPI,Express,899.91,0.0,4050.09
ORD0000174,CUST000041,2025-02-10,Delivered,UPI,Standard,11.22,52.66,186.44
ORD0000175,CUST000044,2025-01-05,Cancelled,UPI,Standard,3171.71,0.0,10828.29
ORD0000176,CUST000044,2025-01-25,Delivered,Wallet,Express,77.98,98.94,350.96
ORD0000177,CUST000044,2025-04-12,Delivered,COD,Standard,246.86,0.0,1543.14
ORD0000178,CUST000044,2025-08-27,Delivered,Debit Card,Standard,665.79,60.24,3154.45
ORD0000179,CUST000045,2025-11-03,Delivered,Debit Card,Standard,161.98,40.41,538.43
ORD0000180,CUST000047,2024-11-11,Delivered,COD,Express,286.46,104.92,1093.46
ORD0000181,CUST000047,2025-01-14,Returned,COD,Standard,3499.54,0.0,11510.46
ORD0000182,CUST000047,2025-11-21,Delivered,Credit Card,Standard,6579.81,0.0,21885.19
ORD0000183,CUST000048,2024-08-23,Delivered,COD,Standard,6633.05,37.22,36829.17
ORD0000184,CUST000048,2024-10-03,Returned,EMI,Standard,781.83,46.44,1539.61
ORD0000185,CUST000048,2024-12-18,Delivered,Credit Card,Standard,359.91,26.31,1166.4
ORD0000186,CUST000048,2025-01-01,Delivered,Credit Card,Standard,508.36,52.03,2203.67
ORD0000187,CUST000048,2025-12-08,Delivered,UPI,Express,3105.84,81.65,14165.81
ORD0000188,CUST000049,2025-06-05,Delivered,COD,Standard,1182.37,0.0,6577.63
ORD0000189,CUST000049,2025-06-19,Cancelled,UPI,Standard,2476.78,44.9,10283.12
ORD0000190,CUST000049,2025-07-20,Delivered,EMI,Express,1923.72,102.15,9168.43
ORD0000191,CUST000049,2025-10-02,Delivered,Net Banking,Standard,318.86,39.58,3625.72
ORD0000192,CUST000049,2025-11-22,Delivered,EMI,Standard,2324.98,53.09,8928.11
ORD0000193,CUST000049,2025-12-05,Cancelled,Credit Card,Standard,411.81,0.0,1783.19
ORD0000194,CUST000050,2023-12-18,Delivered,UPI,Standard,611.03,0.0,2448.97
ORD0000195,CUST000050,2024-03-15,Returned,Debit Card,Express,588.66,125.85,3167.19
ORD0000196,CUST000050,2024-03-19,Delivered,Debit Card,Express,442.6,0.0,2492.4
ORD0000197,CUST000050,2024-04-22,Delivered,Wallet,Standard,1092.08,0.0,5442.92
ORD0000198,CUST000050,2024-05-25,Returned,UPI,Express,90.18,97.87,627.69
ORD0000199,CUST000050,2024-06-12,Delivered,Credit Card,Same Day,943.96,0.0,4396.04
ORD0000200,CUST000050,2024-10-27,Delivered,Credit Card,Express,911.61,103.7,7017.09
ORD0000201,CUST000050,2024-12-18,Delivered,Net Banking,Same Day,3897.9,0.0,25212.1
ORD0000202,CUST000050,2025-02-06,Delivered,Net Banking,Standard,394.95,49.54,2054.59
ORD0000203,CUST000050,2025-04-23,Delivered,Wallet,Express,8239.76,84.45,63759.69
ORD0000204,CUST000050,2025-11-02,Returned,UPI,Standard,388.13,0.0,2051.87
ORD0000205,CUST000050,2025-11-12,Delivered,UPI,Standard,559.07,36.36,1877.29
ORD0000206,CUST000050,2025-12-08,Returned,COD,Same Day,4207.66,183.37,20895.71
ORD0000207,CUST000051,2024-01-22,Cancelled,UPI,Standard,5.82,39.88,114.06
ORD0000208,CUST000051,2024-04-16,Delivered,Credit Card,Express,288.68,107.52,1283.84
ORD0000209,CUST000051,2024-10-11,Delivered,Credit Card,Standard,164.25,49.71,640.46
ORD0000210,CUST000051,2025-02-21,Delivered,Credit Card,Standard,9169.72,0.0,66190.28
ORD0000211,CUST000052,2024-11-14,Delivered,Wallet,Standard,2610.1,0.0,8529.9
ORD0000212,CUST000052,2025-05-27,Delivered,UPI,Standard,1307.89,55.94,7508.05
ORD0000213,CUST000052,2025-05-30,Delivered,Debit Card,Same Day,2822.76,203.23,18300.47
ORD0000214,CUST000052,2025-11-27,Delivered,Credit Card,Standard,1408.14,0.0,5371.86
ORD0000215,CUST000052,2025-11-28,Returned,UPI,Standard,468.5,41.91,1198.41
ORD0000216,CUST000053,2025-12-31,Delivered,Credit Card,Express,258.37,102.76,784.39
ORD0000217,CUST000054,2025-04-18,Delivered,Debit Card,Express,168.09,96.32,878.23
ORD0000218,CUST000054,2025-04-22,Delivered,Debit Card,Standard,369.87,77.71,2747.84
ORD0000219,CUST000054,2025-06-10,Returned,Wallet,Express,315.5,110.71,4085.21
ORD0000220,CUST000054,2025-08-04,Returned,UPI,Same Day,665.73,0.0,2909.27
ORD0000221,CUST000054,2025-08-31,Delivered,COD,Express,1315.99,0.0,6399.01
ORD0000222,CUST000054,2025-09-01,Delivered,UPI,Express,22537.64,0.0,133847.36
ORD0000223,CUST000054,2025-10-15,Delivered,Debit Card,Standard,1574.7,0.0,6575.3
ORD0000224,CUST000054,2025-10-16,Delivered,Net Banking,Express,1103.32,0.0,6201.68
ORD0000225,CUST000054,2025-12-16,Delivered,UPI,Standard,1442.98,0.0,6132.02
ORD0000226,CUST000054,2025-12-22,Delivered,UPI,Standard,1178.29,37.0,8593.71
ORD0000227,CUST000055,2025-05-29,Delivered,UPI,Standard,811.28,0.0,5198.72
ORD0000228,CUST000055,2025-11-06,Delivered,UPI,Standard,247.23,53.81,786.58
ORD0000229,CUST000055,2025-11-16,Delivered,Debit Card,Standard,1376.94,0.0,3858.06
ORD0000230,CUST000056,2025-09-25,Returned,Wallet,Standard,1417.61,0.0,4562.39
ORD0000231,CUST000056,2025-10-10,Delivered,Debit Card,Standard,4125.68,0.0,13539.32
ORD0000232,CUST000056,2025-11-16,Delivered,Net Banking,Standard,2636.8,0.0,10828.2
ORD0000233,CUST000056,2025-11-17,Cancelled,Credit Card,Express,213.28,101.81,668.53
ORD0000234,CUST000056,2025-11-29,Delivered,EMI,Standard,97.15,17.74,580.59
ORD0000235,CUST000057,2025-03-07,Delivered,UPI,Standard,1020.24,56.77,5621.53
ORD0000236,CUST000057,2025-07-28,Returned,Wallet,Express,445.84,0.0,7814.16
ORD0000237,CUST000057,2025-08-04,Delivered,UPI,Standard,1908.51,0.0,4971.49
ORD0000238,CUST000057,2025-09-03,Delivered,UPI,Standard,791.61,51.63,1615.02
ORD0000239,CUST000057,2025-10-10,Delivered,UPI,Standard,82.6,31.89,384.29
ORD0000240,CUST000058,2025-04-09,Delivered,UPI,Standard,774.11,52.45,2818.34
ORD0000241,CUST000058,2025-07-26,Delivered,Credit Card,Same Day,1468.8,0.0,14366.2
ORD0000242,CUST000058,2025-11-29,Delivered,Credit Card,Standard,190.84,30.65,1119.81
ORD0000243,CUST000058,2025-11-30,Returned,Net Banking,Standard,1251.37,0.0,10748.63
ORD0000244,CUST000059,2023-10-07,Delivered,COD,Standard,2356.05,29.65,22008.6
ORD0000245,CUST000059,2023-10-09,Delivered,COD,Standard,1186.55,26.69,3865.14
ORD0000246,CUST000059,2023-10-11,Delivered,Debit Card,Standard,4027.45,0.0,19492.55
ORD0000247,CUST000059,2023-10-18,Delivered,EMI,Standard,2623.86,0.0,15511.14
ORD0000248,CUST000059,2023-11-17,Delivered,UPI,Express,601.18,123.8,3302.62
ORD0000249,CUST000059,2023-12-04,Delivered,Net Banking,Standard,3133.39,0.0,29146.61
ORD0000250,CUST000059,2024-01-08,Delivered,UPI,Express,1244.75,0.0,5770.25
ORD0000251,CUST000059,2024-01-13,Delivered,Debit Card,Standard,1206.07,50.96,13719.89
ORD0000252,CUST000059,2024-02-10,Cancelled,Wallet,Standard,416.92,0.0,6143.08
ORD0000253,CUST000059,2024-05-19,Delivered,Credit Card,Standard,847.54,56.16,10823.62
ORD0000254,CUST000059,2024-05-23,Delivered,UPI,Same Day,865.03,0.0,36764.97
ORD0000255,CUST000059,2024-08-19,Delivered,UPI,Standard,834.14,0.0,7245.86
ORD0000256,CUST000059,2024-09-10,Delivered,Debit Card,Express,6980.25,0.0,69214.75
ORD0000257,CUST000059,2024-09-25,Cancelled,Credit Card,Standard,2471.27,0.0,23568.73
ORD0000258,CUST000059,2024-10-10,Delivered,Credit Card,Standard,1586.66,41.43,10304.77
ORD0000259,CUST000059,2024-10-26,Delivered,UPI,Standard,799.59,52.14,4052.55
ORD0000260,CUST000059,2024-11-16,Delivered,COD,Express,3142.17,120.11,17097.94
ORD0000261,CUST000059,2024-12-29,Returned,UPI,Standard,3820.43,0.0,23589.57
ORD0000262,CUST000059,2025-01-12,Delivered,Debit Card,Standard,955.01,0.0,6664.99
ORD0000263,CUST000059,2025-02-10,Returned,Debit Card,Express,449.4,0.0,2420.6
ORD0000264,CUST000059,2025-03-08,Delivered,Credit Card,Standard,305.99,0.0,2524.01
ORD0000265,CUST000059,2025-03-31,Delivered,Debit Card,Standard,74.14,38.17,1239.03
ORD0000266,CUST000059,2025-04-05,Delivered,UPI,Standard,365.96,0.0,5094.04
ORD0000267,CUST000059,2025-04-15,Delivered,UPI,Express,376.14,106.31,4890.17
ORD0000268,CUST000059,2025-06-18,Returned,UPI,Express,2174.64,0.0,32980.36
ORD0000269,CUST000059,2025-06-29,Delivered,Net Banking,Standard,4036.51,0.0,31513.49
ORD0000270,CUST000059,2025-07-11,Delivered,Credit Card,Standard,2326.76,0.0,20918.24
ORD0000271,CUST000059,2025-08-04,Delivered,COD,Express,1656.67,0.0,11918.33
ORD0000272,CUST000059,2025-08-17,Delivered,UPI,Standard,423.99,54.45,6535.46
ORD0000273,CUST000059,2025-08-27,Delivered,COD,Standard,6573.88,45.99,34782.11
ORD0000274,CUST000059,2025-08-27,Delivered,UPI,Same Day,1868.8,0.0,19871.2
ORD0000275,CUST000059,2025-10-01,Cancelled,Debit Card,Standard,1079.65,30.73,6476.08
ORD0000276,CUST000059,2025-10-01,Delivered,UPI,Express,1386.39,105.1,8378.71
ORD0000277,CUST000059,2025-10-06,Delivered,UPI,Express,1554.53,138.82,7374.29
ORD0000278,CUST000059,2025-10-29,Delivered,Wallet,Standard,258.8,0.0,3411.2
ORD0000279,CUST000059,2025-11-08,Delivered,UPI,Express,604.16,109.75,5475.59
ORD0000280,CUST000059,2025-11-18,Delivered,COD,Express,972.64,0.0,3202.36
ORD0000281,CUST000060,2023-11-27,Delivered,Credit Card,Express,1136.17,123.13,6276.96
ORD0000282,CUST000060,2024-10-12,Delivered,Net Banking,Same Day,286.54,187.45,835.91
ORD0000283,CUST000060,2025-09-17,Delivered,EMI,Same Day,599.4,184.3,4744.9
ORD0000284,CUST000062,2024-10-23,Delivered,UPI,Standard,311.48,39.68,1078.2
ORD0000285,CUST000062,2024-10-24,Delivered,UPI,Standard,1073.93,0.0,4731.07
ORD0000286,CUST000062,2025-01-30,Delivered,UPI,Standard,4405.79,0.0,18224.21
ORD0000287,CUST000062,2025-06-24,Delivered,UPI,Standard,1298.99,0.0,9391.01
ORD0000288,CUST000062,2025-07-16,Cancelled,COD,Express,103.65,112.06,923.41
ORD0000289,CUST000062,2025-08-01,Delivered,UPI,Express,142.37,114.54,867.17
ORD0000290,CUST000062,2025-10-03,Delivered,UPI,Express,1619.79,0.0,3920.21
ORD0000291,CUST000063,2025-04-20,Cancelled,UPI,Standard,19302.93,0.0,93107.07
ORD0000292,CUST000063,2025-06-04,Delivered,Net Banking,Standard,5431.79,0.0,27028.21
ORD0000293,CUST000063,2025-08-28,Delivered,Wallet,Express,2881.7,0.0,21583.3
ORD0000294,CUST000063,2025-09-05,Delivered,Credit Card,Standard,1560.92,0.0,17059.08
ORD0000295,CUST000064,2025-10-01,Delivered,Wallet,Express,1868.98,113.71,6584.73
ORD0000296,CUST000064,2025-12-25,Delivered,Debit Card,Standard,281.12,0.0,2393.88
ORD0000297,CUST000065,2025-03-16,Returned,Wallet,Express,103.63,106.29,682.66
